x,y,z
237.94802734375,213.49792114257812,31.543079376220703
96.05791931152343,214.0275079345703,31.48876953125
280.37,215.74,31.5
296.2374169921875,216.12506469726563,31.90526580810547
284.1416967773438,216.55733947753907,31.92115020751953
44.87269607543946,218.93864807128907,32.219459533691406
261.2709033203125,217.93394226074219,32.09442138671875
298.6002514648438,217.97712341308593,32.36458206176758
217.2472692871094,221.54794921875,31.66549301147461
223.6739471435547,221.85365661621094,31.481534957885746
217.0907305908203,222.84944824218752,32.07588577270508
172.2292614746094,223.9544561767578,31.59813117980957
147.43,224.48000000000002,31.5
120.19152282714845,226.1936853027344,32.08402633666992
294.91601196289065,226.33944274902345,32.11565017700195
300.61,227.70000000000002,33.0
115.11132202148438,231.3699346923828,31.494823455810543
228.38955078125002,231.5728692626953,31.608585357666016
226.54125427246095,233.14910766601562,31.827186584472656
262.629453125,233.6244793701172,31.522035598754883
220.11,234.025,31.5
205.62,235.175,31.5
46.08946472167969,235.6582470703125,31.9981746673584
235.68775512695314,236.14188720703126,31.863059997558594
216.80772277832028,236.34864013671876,31.90304946899414
217.13196044921875,237.68150024414064,32.06597137451172
274.62,238.74,31.5
152.43564453125,239.15173706054688,32.10565948486328
224.82500000000002,239.20000000000002,32.5
74.175,13.915000000000001,31.5
189.51241943359375,19.67540222167969,31.938188552856445
84.79441192626953,26.236577224731448,32.18703842163086
145.14730895996095,40.394746704101564,31.8831729888916
230.9675750732422,51.08002182006836,31.963159561157227
229.87157958984375,51.12185531616211,31.665584564208984
179.4,54.050000000000004,31.5
29.63585586547852,56.830274505615236,32.082767486572266
64.96788269042969,57.31648010253907,32.44736862182617
58.26290328979493,59.478457641601565,32.27020263671875
61.05423278808594,59.42081726074219,32.09961700439453
180.76128723144532,59.53111450195313,31.811105728149414
39.83239852905274,61.38685821533203,31.88343620300293
194.33516174316406,65.41670135498048,32.20724868774414
194.76695922851565,66.50955230712891,31.9372615814209
194.925,67.62,32.0
257.16041137695316,70.97383209228516,31.783218383789062
102.00500000000001,71.3,31.5
191.7111767578125,76.63306182861328,32.503135681152344
107.41000000000001,76.59,32.0
183.7470477294922,77.1537274169922,31.961015701293945
313.95,80.5,32.0
313.493369140625,81.88299713134766,32.07538986206055
2.1495799350738527,83.13770721435547,32.466766357421875
254.35669677734376,83.4667529296875,31.618432998657227
254.34768432617187,85.07610717773439,32.078243255615234
156.01722351074218,85.01562408447266,31.955947875976562
198.03,85.44500000000001,32.0
188.45599731445313,85.7487420654297,32.430259704589844
23.108865356445314,88.27201782226562,32.36635208129883
107.40700286865234,88.69650146484375,31.655319213867188
187.60534545898437,88.87975463867188,31.952489852905273
225.7299932861328,92.7559228515625,32.57072067260742
192.38718078613283,94.36147979736329,31.5
240.88013427734376,94.67862823486328,32.39300537109375
225.67924560546876,94.65903808593751,32.47876739501953
241.9783056640625,94.66075073242187,32.51748275756836
276.2301123046875,98.0992465209961,31.566455841064453
328.0735778808594,98.62662231445313,31.90596389770508
247.56863647460938,98.65393341064454,31.98708915710449
45.885000000000005,98.9,32.0
247.2800134277344,100.36595520019532,32.915435791015625
250.512001953125,102.58833160400391,32.16370391845703
191.21095764160157,106.91753692626953,32.23005676269531
281.8901000976563,108.02797058105467,31.816965103149414
99.82000000000001,108.79,31.5
300.1731628417969,110.33357879638672,32.167171478271484
94.875,110.97500000000001,32.0
37.115425262451176,112.14218963623047,31.994388580322266
347.34991943359375,112.75883361816408,31.948537826538086
18.491763458251953,114.08093353271485,31.90285873413086
298.885,114.31,32.0
90.32172576904297,114.90780487060547,32.157569885253906
17.68985710144043,115.23689971923828,32.447509765625
11.590722007751465,117.49692626953126,32.4686164855957
150.49073791503906,117.38809600830079,32.401634216308594
296.64384765625,118.28669494628907,31.86658477783203
91.87909698486328,120.36727966308594,32.056644439697266
230.92859130859375,121.12032470703126,31.851158142089844
10.990930747985841,125.14653198242188,32.06672668457031
188.83,127.19000000000001,31.5
72.91,128.57,31.5
8.17633487701416,130.13983703613283,31.96715545654297
25.76,130.18,31.5
49.81101745605469,130.40053833007812,31.797452926635746
319.7,130.64000000000001,32.5
214.82000000000002,130.87,32.5
153.29789184570313,132.73272766113283,32.13802719116211
74.175,133.63,31.5
22.266099395751958,133.90201599121093,32.366458892822266
309.2335681152344,133.9179071044922,32.50767135620117
254.24419555664065,135.73359313964843,32.18734359741211
45.962553405761724,138.34700744628907,32.072444915771484
289.4248461914063,138.44815185546875,31.890424728393555
354.315,141.565,32.0
106.60908508300783,143.15922119140626,32.245338439941406
113.17886016845704,147.90020568847658,32.60871887207031
67.46386138916016,150.9108135986328,32.78895950317383
295.6565209960938,151.93291259765627,32.04166793823242
26.748470764160157,152.53796813964846,32.418113708496094
337.8587976074219,152.68671569824218,33.421077728271484
136.06100341796875,153.37254638671877,32.48451614379883
328.9857446289063,153.43373840332032,31.986223220825195
335.1416979980469,153.37804931640625,31.98011016845703
334.8395141601563,156.45564697265627,32.21613693237305
7.232159976959228,159.95556640625,31.96999931335449
233.34093811035157,160.51899902343752,32.08314514160156
249.21510742187502,162.83538146972657,32.03983688354492
270.71510986328127,163.65631469726563,32.365509033203125
175.63769470214845,164.52240844726563,31.932300567626957
288.57304321289064,166.40227661132812,32.81764602661133
48.37975036621094,166.96395446777345,32.40167236328125
273.85335205078127,167.9811260986328,32.05659484863281
233.96477661132815,169.46280395507813,32.067665100097656
330.1377099609375,171.60976074218752,31.592687606811523
12.655907402038574,172.1144860839844,32.04969787597656
267.88177490234375,174.15090698242187,32.31011199951172
